name|cat|tb|sys
hamsternz/FPGA_Webserver|ip|tb|
progranism/Open-Source-FPGA-Bitcoin-Miner|ip|tb|fpga
asicguy/gplgpu|ip|tb|
VerticalResearchGroup/miaow|ip|tb|
parallella/parallella-hw|||system
parallella/parallella-examples|||system
cliffordwolf/picorv32|ip|tb|
parallella/oh|ip-lib|tb|fpga
tgingold/ghdl|eda||
kramble/FPGA-Litecoin-Miner|ip||fpga
ikorb/gcvideo|ip||system
marmolejo/zet|ip|tb|system
mist-devel/mist-board|ip|tb|system
twlostow/dsi-shield|ip||system
fpgaminer/Open-Source-FPGA-Bitcoin-Miner|ip|tb|system
openrisc/mor1kx|ip|tb|
fabioperez/space-invaders-vhdl|ip||
NetFPGA/netfpga|ip|tb|fpga
VUnit/vunit|eda||
m-labs/milkymist|ip-lib|tb|system
timvideos/HDMI2USB-jahanzeb-firmware|ip-lib|tb|system
analogdevicesinc/hdl|ip-lib||system
jmahler/mips-cpu|ip|tb|
gardners/c65gs|ip||fpga
gtaylormb/opl3_fpga|ip|tb|fpga
hamsternz/FPGA_DisplayPort|ip|tb|fpga
inforichland/freezing-spice|ip|tb|
brianbennett/fpga_nes|ip||fpga
drxzcl/neppielight|ip||fpga
inforichland/yafc|ip|tb|fpga
Arlet/verilog-6502|ip||
lowRISC/lowrisc-chip|ip|tb|fpga
VLSI-EDA/PoC|ip-lib|tb|fpga
ngzhang/Icarus|ip||fpga
openrisc/orpsoc-cores|ip-lib|tb|fpga
Obijuan/open-fpga-verilog-tutorial|ip||fpga
jamieiles/oldland-cpu|ip|tb|system
alvieboy/ZPUino-HDL|ip||fpga
dtysky/FPGA-Imaging-Library|ip-lib|tb|system
alexforencich/verilog-ethernet|ip-lib|tb|
strigeus/fpganes|ip||fpga
f32c/f32c|ip|tb|fpga
jpiat/hard-cv|ip-lib|tb|
veripool/verilog-mode|eda||
GadgetFactory/Arduino-Soft-Core|ip||fpga
m-labs/lm32|ip|tb|
VerificationExcellence/SystemVerilogReference||tb|
martinjthompson/libv|ip|tb|
rdsalemi/uvmprimer||tb|
ridecore/ridecore|ip|tb|
teknohog/Xilinx-Serial-Miner|ip||
VectorBlox/orca|ip|tb|fpga
Domipheus/TPU|ip|tb|fpga
maidenone/ORGFXSoC|ip|tb|fpga
stiggy87/ZynqBTC|ip||fpga
zylin/zpu|ip||
fpga-logi/logi-projects|ip||fpga
xesscorp/VHDL_Lib|ip-lib||fpga
EttusResearch/fpga|ip|tb|fpga
alfikpl/ao68000|ip|tb|
sybreon/dcpu16|ip|tb|
ucb-bar/vscale|ip|tb|
charcole/NeoGeoHDMI|ip||fpga
combinatorylogic/soc|ip|tb|fpga
jbush001/RotorCPU|ip|tb|fpga
trun/fpgaboy|ip||fpga
KastnerRG/riffa|ip||fpga
seldridge/verilog|ip|tb|
cliffordwolf/SimpleVOut|ip|tb|fpga
rkrajnc/minimig-de1|ip|tb|system
xesscorp/FpgasNowWhat|||fpga
sergeykhbr/riscv_vhdl|ip||fpga
timvideos/HDMI2USB-misoc-firmware|ip|tb|system
bikerglen/beagle|||system
hamsternz/Artix-7-HDMI-processing|ip|tb|fpga
BenBergman/AlteraDE2Labs_Verilog|||fpga
ejrh/cpu|ip|tb|fpga
swetland/zynq-sandbox|ip||system
rkrajnc/minimig-mist|ip|tb|system
teknohog/Open-Source-FPGA-Bitcoin-Miner|ip|tb|fpga
casper-astro/mlib_devel|ip|tb|fpga
grantae/mips32r1_xum|ip||
GadgetFactory/Papilio-Arcade|ip||fpga
ShepardSiegel/ocpi|ip|tb|fpga
benreynwar/fft-dit-fpga|ip|tb|
openrisc/or1200|ip|tb|
defparam/21FX|ip||fpga
pulp-platform/riscv|ip|tb|
rseal/GnuRadar|ip||fpga
steveicarus/ivtest|eda||
MorrisMA/MAM65C02-Processor-Core|ip|tb|
VerificationExcellence/UVMReference||tb|
cnplab/blockmon|ip||fpga
embmicro/mojo-base-project|ip||fpga
inmcm/Simon_Speck_Ciphers|ip|tb|
pabennett/uart|ip|tb|
JimLewis/OSVVM|eda||
UVVM/UVVM_All|eda||
WilliamParks/Hardware_Neural_Net|ip||fpga
ddk/ddk-fpga|ip|tb|fpga
zdavkeos/whirlyfly|ip||fpga
xesscorp/XuLA|ip||fpga
bmartini/zynq-axis|ip|tb|system
shuckc/verilog-utils|ip-lib|tb|
GadgetFactory/RetroCade_Synth|ip|tb|system
dwelch67/lsasim|ip|tb|fpga
cluelogic/uvm-tutorial-for-candy-lovers|eda||
schoeberl/leros|ip|tb|fpga
tmatsuya/wiki|ip||fpga
alfikpl/aoOCS|ip|tb|fpga
andygikling/BBot|||system
chenxiao07/vhdl-nes|ip||
cliffordwolf/PonyLink|ip|tb|
silverjam/VHDL|ip|tb|
alexforencich/verilog-uart|ip|tb|
fallen/tinycpu|ip||
